key	year	title	url	source
altae2017low	2017	Low data drug discovery with one-shot learning	https://doi.org/10.1021/acscentsci.6b00367	crossref-doi-or-publisher
ba2016layernorm	2016	Layer normalization	https://arxiv.org/abs/1607.06450	manual-arxiv
baek2021rosettafold	2021	Accurate prediction of protein structures and interactions using a three-track neural network	https://doi.org/10.1126/science.abj8754	crossref-doi-or-publisher
bai2023drugban	2023	Interpretable bilinear attention network with domain adaptation improves drug--target prediction	https://doi.org/10.1038/s42256-022-00605-1	crossref-doi-or-publisher
brody2022gatv2	2022	How attentive are graph attention networks?	https://arxiv.org/abs/2105.14491	manual-arxiv
caruana1997multitask	1997	Multitask learning	https://doi.org/10.1023/a:1007379606734	crossref-doi-or-publisher
chan2015glass	2015	{GLASS}: a comprehensive database for experimentally validated {GPCR}-ligand associations	https://doi.org/10.1093/bioinformatics/btv302	crossref-doi-or-publisher
chen2018rise	2018	The rise of deep learning in drug discovery	https://doi.org/10.1016/j.drudis.2018.01.039	crossref-doi-or-publisher
chen2020simclr	2020	A simple framework for contrastive learning of visual representations	https://proceedings.mlr.press/v119/chen20j.html	manual-pmlr
corso2023diffdock	2023	DiffDock: Diffusion steps, twists, and turns for molecular docking	https://arxiv.org/abs/2210.01776	manual-arxiv
davis2011kinase	2011	Comprehensive analysis of kinase inhibitor selectivity	https://doi.org/10.1038/nbt.1990	crossref-doi-or-publisher
dunker2002idps	2002	Intrinsic disorder and protein function	https://doi.org/10.1021/bi012159+	crossref-doi-or-publisher
elnaggar2022prottrans	2022	ProtTrans: toward understanding the language of life through self-supervised learning	https://doi.org/10.1109/tpami.2021.3095381	crossref-doi-or-publisher
gilson2016bindingdb	2016	BindingDB in 2015: a public database for medicinal chemistry, computational chemistry and systems pharmacology	https://doi.org/10.1093/nar/gkv1072	crossref-doi-or-publisher
gonen2005concordance	2005	Concordance probability and discriminatory power in proportional hazards regression	https://doi.org/10.1093/biomet/92.4.965	crossref-doi-or-publisher
he2017simboost	2017	SimBoost: a read-across approach for predicting drug--target binding affinities using gradient boosting machines	https://doi.org/10.1186/s13321-017-0209-z	crossref-doi-or-publisher
huang2021moltrans	2021	MolTrans: molecular interaction transformer for drug--target interaction prediction	https://doi.org/10.1093/bioinformatics/btaa880	crossref-doi-or-publisher
jumper2021alphafold	2021	Highly accurate protein structure prediction with AlphaFold	https://doi.org/10.1038/s41586-021-03819-2	crossref-doi-or-publisher
